Date,County,State,FIPS,Total Cases,Total Deaths
2020-09-29,Bergen,New Jersey,34003,22716,2047
2020-09-30,Bergen,New Jersey,34003,22751,2045
2020-10-01,Bergen,New Jersey,34003,22820,2045
2020-10-02,Bergen,New Jersey,34003,22874,2045
2020-10-03,Bergen,New Jersey,34003,22933,2045
2020-10-04,Bergen,New Jersey,34003,22975,2046
2020-10-05,Bergen,New Jersey,34003,23015,2047
2020-10-06,Bergen,New Jersey,34003,23068,2048
2020-10-07,Bergen,New Jersey,34003,23118,2050
2020-10-08,Bergen,New Jersey,34003,23201,2050
2020-10-09,Bergen,New Jersey,34003,23273,2051
2020-10-10,Bergen,New Jersey,34003,23349,2051
2020-10-11,Bergen,New Jersey,34003,23415,2051
2020-10-12,Bergen,New Jersey,34003,23463,2051
2020-10-13,Bergen,New Jersey,34003,23565,2052
2020-10-14,Bergen,New Jersey,34003,23633,2050
2020-10-15,Bergen,New Jersey,34003,23737,2050
2020-10-16,Bergen,New Jersey,34003,23811,2050
2020-10-17,Bergen,New Jersey,34003,23881,2050
2020-10-18,Bergen,New Jersey,34003,23980,2050
2020-10-19,Bergen,New Jersey,34003,24087,2051
2020-10-20,Bergen,New Jersey,34003,24187,2053
2020-10-21,Bergen,New Jersey,34003,24309,2055
2020-10-22,Bergen,New Jersey,34003,24415,2056
2020-10-23,Bergen,New Jersey,34003,24502,2057
2020-10-24,Bergen,New Jersey,34003,24651,2057
2020-10-25,Bergen,New Jersey,34003,24770,2058
2020-10-26,Bergen,New Jersey,34003,24891,2058
2020-10-27,Bergen,New Jersey,34003,25038,2058
2020-10-28,Bergen,New Jersey,34003,25133,2061
2020-10-29,Bergen,New Jersey,34003,25270,2062
2020-10-30,Bergen,New Jersey,34003,25478,2062
2020-10-31,Bergen,New Jersey,34003,25609,2063
2020-11-01,Bergen,New Jersey,34003,25769,2063
2020-11-02,Bergen,New Jersey,34003,25920,2063
2020-11-03,Bergen,New Jersey,34003,26095,2064
2020-11-04,Bergen,New Jersey,34003,26310,2067
2020-11-05,Bergen,New Jersey,34003,26415,2068
2020-11-06,Bergen,New Jersey,34003,26627,2070
2020-11-07,Bergen,New Jersey,34003,26959,2071
2020-11-08,Bergen,New Jersey,34003,27169,2071
2020-11-09,Bergen,New Jersey,34003,27305,2071
2020-11-10,Bergen,New Jersey,34003,27606,2072
2020-11-11,Bergen,New Jersey,34003,27923,2075
2020-11-12,Bergen,New Jersey,34003,28331,2078
2020-11-13,Bergen,New Jersey,34003,28682,2082
2020-11-14,Bergen,New Jersey,34003,29067,2083
2020-11-15,Bergen,New Jersey,34003,29469,2083
2020-11-16,Bergen,New Jersey,34003,29655,2084
2020-11-17,Bergen,New Jersey,34003,30046,2087
2020-11-18,Bergen,New Jersey,34003,30470,2091
2020-11-19,Bergen,New Jersey,34003,30912,2096
2020-11-20,Bergen,New Jersey,34003,31252,2098
2020-11-21,Bergen,New Jersey,34003,31693,2101
2020-11-22,Bergen,New Jersey,34003,32097,2101
2020-11-23,Bergen,New Jersey,34003,32491,2102
2020-11-24,Bergen,New Jersey,34003,32827,2108
2020-11-25,Bergen,New Jersey,34003,33162,2114
2020-11-26,Bergen,New Jersey,34003,33578,2119
2020-11-27,Bergen,New Jersey,34003,34125,2122
2020-11-28,Bergen,New Jersey,34003,34333,2121
2020-11-29,Bergen,New Jersey,34003,34833,2122
2020-11-30,Bergen,New Jersey,34003,35121,2124
2020-12-01,Bergen,New Jersey,34003,35577,2139
2020-12-02,Bergen,New Jersey,34003,35978,2145
2020-12-03,Bergen,New Jersey,34003,36478,2153
2020-12-04,Bergen,New Jersey,34003,37092,2159
2020-12-05,Bergen,New Jersey,34003,37602,2165
2020-12-06,Bergen,New Jersey,34003,38145,2165
2020-12-07,Bergen,New Jersey,34003,38479,2165
2020-12-08,Bergen,New Jersey,34003,38854,2172
2020-12-09,Bergen,New Jersey,34003,39133,2180
2020-12-10,Bergen,New Jersey,34003,39557,2187
2020-12-11,Bergen,New Jersey,34003,39842,2193
2020-12-12,Bergen,New Jersey,34003,40369,2196
2020-12-13,Bergen,New Jersey,34003,40737,2202
2020-12-14,Bergen,New Jersey,34003,41133,2205
2020-12-15,Bergen,New Jersey,34003,41470,2215
2020-12-16,Bergen,New Jersey,34003,41897,2223
2020-12-17,Bergen,New Jersey,34003,42264,2235
2020-12-18,Bergen,New Jersey,34003,42657,2237
2020-12-19,Bergen,New Jersey,34003,43007,2244
2020-12-20,Bergen,New Jersey,34003,43375,2246
2020-12-21,Bergen,New Jersey,34003,43626,2248
2020-12-22,Bergen,New Jersey,34003,43963,2257
2020-12-23,Bergen,New Jersey,34003,44426,2267
2020-12-24,Bergen,New Jersey,34003,44886,2275
2020-12-25,Bergen,New Jersey,34003,45324,2276
2020-12-26,Bergen,New Jersey,34003,45620,2277
2020-12-27,Bergen,New Jersey,34003,45845,2280
2020-12-28,Bergen,New Jersey,34003,46100,2282
2020-12-29,Bergen,New Jersey,34003,46412,2300
2020-12-30,Bergen,New Jersey,34003,46826,2312
2020-12-31,Bergen,New Jersey,34003,47362,2318
2021-01-01,Bergen,New Jersey,34003,47833,2330
2021-01-02,Bergen,New Jersey,34003,48265,2333
2021-01-03,Bergen,New Jersey,34003,48565,2335
2021-01-04,Bergen,New Jersey,34003,53188,2342
2021-01-05,Bergen,New Jersey,34003,53821,2345
2021-01-06,Bergen,New Jersey,34003,54435,2355
2021-01-07,Bergen,New Jersey,34003,55096,2361
2021-01-08,Bergen,New Jersey,34003,55774,2368
2021-01-09,Bergen,New Jersey,34003,56360,2376
2021-01-10,Bergen,New Jersey,34003,56890,2378
2021-01-11,Bergen,New Jersey,34003,57259,2380
2021-01-12,Bergen,New Jersey,34003,57609,2383
2021-01-13,Bergen,New Jersey,34003,58354,2397
2021-01-14,Bergen,New Jersey,34003,59102,2402
2021-01-15,Bergen,New Jersey,34003,59684,2406
2021-01-16,Bergen,New Jersey,34003,60224,2409
2021-01-17,Bergen,New Jersey,34003,60704,2409
2021-01-18,Bergen,New Jersey,34003,60985,2410
2021-01-19,Bergen,New Jersey,34003,61469,2411
2021-01-20,Bergen,New Jersey,34003,62042,2421
2021-01-21,Bergen,New Jersey,34003,62551,2427
2021-01-22,Bergen,New Jersey,34003,62908,2430
2021-01-23,Bergen,New Jersey,34003,63563,2434
2021-01-24,Bergen,New Jersey,34003,64044,2434
2021-01-25,Bergen,New Jersey,34003,64390,2435
2021-01-26,Bergen,New Jersey,34003,64848,2450
2021-01-27,Bergen,New Jersey,34003,65338,2457
2021-01-28,Bergen,New Jersey,34003,65850,2461
2021-01-29,Bergen,New Jersey,34003,66318,2465
2021-01-30,Bergen,New Jersey,34003,66836,2469
2021-01-31,Bergen,New Jersey,34003,67253,2474
2021-02-01,Bergen,New Jersey,34003,67609,2481
2021-02-02,Bergen,New Jersey,34003,67912,2483
2021-02-03,Bergen,New Jersey,34003,68134,2488
2021-02-04,Bergen,New Jersey,34003,68542,2501
2021-02-05,Bergen,New Jersey,34003,69047,2504
2021-02-06,Bergen,New Jersey,34003,69523,2507
2021-02-07,Bergen,New Jersey,34003,69951,2506
2021-02-08,Bergen,New Jersey,34003,70209,2510
2021-02-09,Bergen,New Jersey,34003,70526,2521
2021-02-10,Bergen,New Jersey,34003,70978,2528
2021-02-11,Bergen,New Jersey,34003,71373,2543
2021-02-12,Bergen,New Jersey,34003,71752,2550
2021-02-13,Bergen,New Jersey,34003,72165,2553
2021-02-14,Bergen,New Jersey,34003,72420,2553
2021-02-15,Bergen,New Jersey,34003,72567,2554
2021-02-16,Bergen,New Jersey,34003,73077,2555
2021-02-17,Bergen,New Jersey,34003,73454,2559
2021-02-18,Bergen,New Jersey,34003,73819,2572
2021-02-19,Bergen,New Jersey,34003,74126,2583
2021-02-20,Bergen,New Jersey,34003,74471,2588
2021-02-21,Bergen,New Jersey,34003,74698,2590
2021-02-22,Bergen,New Jersey,34003,75062,2592
2021-02-23,Bergen,New Jersey,34003,75478,2600
2021-02-24,Bergen,New Jersey,34003,75860,2602
2021-02-25,Bergen,New Jersey,34003,76339,2610
2021-02-26,Bergen,New Jersey,34003,76862,2614
2021-02-27,Bergen,New Jersey,34003,77290,2616
2021-02-28,Bergen,New Jersey,34003,77537,2617
2021-03-01,Bergen,New Jersey,34003,78040,2619
2021-03-02,Bergen,New Jersey,34003,78445,2621
2021-03-03,Bergen,New Jersey,34003,78951,2624
2021-03-04,Bergen,New Jersey,34003,79332,2629
2021-03-05,Bergen,New Jersey,34003,79796,2632
2021-03-06,Bergen,New Jersey,34003,80008,2638
2021-03-07,Bergen,New Jersey,34003,80339,2638
2021-03-08,Bergen,New Jersey,34003,80605,2640
2021-03-09,Bergen,New Jersey,34003,81125,2648
2021-03-10,Bergen,New Jersey,34003,81535,2653
2021-03-11,Bergen,New Jersey,34003,82037,2659
2021-03-12,Bergen,New Jersey,34003,82488,2664
2021-03-13,Bergen,New Jersey,34003,82880,2668
2021-03-14,Bergen,New Jersey,34003,83263,2670
2021-03-15,Bergen,New Jersey,34003,83594,2671
2021-03-16,Bergen,New Jersey,34003,84076,2678
2021-03-17,Bergen,New Jersey,34003,84573,2680
2021-03-18,Bergen,New Jersey,34003,85044,2682
2021-03-19,Bergen,New Jersey,34003,85586,2688
2021-03-20,Bergen,New Jersey,34003,86106,2690
2021-03-21,Bergen,New Jersey,34003,86467,2691
2021-03-22,Bergen,New Jersey,34003,86830,2693
2021-03-23,Bergen,New Jersey,34003,87348,2700
2021-03-24,Bergen,New Jersey,34003,87799,2704
2021-03-25,Bergen,New Jersey,34003,88162,2706
2021-03-26,Bergen,New Jersey,34003,88904,2711
2021-03-27,Bergen,New Jersey,34003,89471,2718
2021-03-28,Bergen,New Jersey,34003,90006,2719
2021-03-29,Bergen,New Jersey,34003,90376,2724
2021-03-30,Bergen,New Jersey,34003,90918,2730
2021-03-31,Bergen,New Jersey,34003,91488,2733
2021-04-01,Bergen,New Jersey,34003,92021,2743
2021-04-02,Bergen,New Jersey,34003,92547,2745
2021-04-03,Bergen,New Jersey,34003,93058,2748
2021-04-04,Bergen,New Jersey,34003,93426,2747
2021-04-05,Bergen,New Jersey,34003,93767,2748
2021-04-06,Bergen,New Jersey,34003,94130,2750
2021-04-07,Bergen,New Jersey,34003,94657,2753
2021-04-08,Bergen,New Jersey,34003,95067,2755
2021-04-09,Bergen,New Jersey,34003,95466,2758
2021-04-10,Bergen,New Jersey,34003,95842,2758
2021-04-11,Bergen,New Jersey,34003,96164,2760
2021-04-12,Bergen,New Jersey,34003,96411,2764
2021-04-13,Bergen,New Jersey,34003,96748,2769
2021-04-14,Bergen,New Jersey,34003,97118,2774
2021-04-15,Bergen,New Jersey,34003,97483,2782
2021-04-16,Bergen,New Jersey,34003,97885,2786
2021-04-17,Bergen,New Jersey,34003,98258,2796
2021-04-18,Bergen,New Jersey,34003,98483,2797
2021-04-19,Bergen,New Jersey,34003,98660,2798
2021-04-20,Bergen,New Jersey,34003,98913,2801
2021-04-21,Bergen,New Jersey,34003,99235,2802
2021-04-22,Bergen,New Jersey,34003,99542,2805
2021-04-23,Bergen,New Jersey,34003,99780,2808
2021-04-24,Bergen,New Jersey,34003,100060,2811
2021-04-25,Bergen,New Jersey,34003,100210,2812
2021-04-26,Bergen,New Jersey,34003,100215,2812
2021-04-27,Bergen,New Jersey,34003,100407,2819
2021-04-28,Bergen,New Jersey,34003,100594,2820
2021-04-29,Bergen,New Jersey,34003,100826,2821
2021-04-30,Bergen,New Jersey,34003,100988,2825
2021-05-01,Bergen,New Jersey,34003,101120,2828
2021-05-02,Bergen,New Jersey,34003,101198,2829
2021-05-03,Bergen,New Jersey,34003,101287,2829
2021-05-04,Bergen,New Jersey,34003,101383,2832
2021-05-05,Bergen,New Jersey,34003,102678,2836
2021-05-06,Bergen,New Jersey,34003,103082,2840
2021-05-07,Bergen,New Jersey,34003,103164,2842
2021-05-08,Bergen,New Jersey,34003,103253,2844
2021-05-09,Bergen,New Jersey,34003,103314,2844
2021-05-10,Bergen,New Jersey,34003,103352,2844
2021-05-11,Bergen,New Jersey,34003,103408,2846
2021-05-12,Bergen,New Jersey,34003,103494,2849
2021-05-13,Bergen,New Jersey,34003,103542,2851
2021-05-14,Bergen,New Jersey,34003,103613,2853
2021-05-15,Bergen,New Jersey,34003,103703,2854
2021-05-16,Bergen,New Jersey,34003,103752,2855
2021-05-17,Bergen,New Jersey,34003,103797,2855
2021-05-18,Bergen,New Jersey,34003,103831,2858
2021-05-19,Bergen,New Jersey,34003,103872,2858
2021-05-20,Bergen,New Jersey,34003,103898,2859
2021-05-21,Bergen,New Jersey,34003,103965,2860
2021-05-22,Bergen,New Jersey,34003,103993,2861
2021-05-23,Bergen,New Jersey,34003,104022,2862
2021-05-24,Bergen,New Jersey,34003,104054,2862
2021-05-25,Bergen,New Jersey,34003,104101,2862
2021-05-26,Bergen,New Jersey,34003,104142,2862
2021-05-27,Bergen,New Jersey,34003,104177,2866
2021-05-28,Bergen,New Jersey,34003,104206,2866
2021-05-29,Bergen,New Jersey,34003,104225,2867
2021-05-30,Bergen,New Jersey,34003,104237,2867
2021-05-31,Bergen,New Jersey,34003,104255,2867
2021-06-01,Bergen,New Jersey,34003,104270,2867
2021-06-02,Bergen,New Jersey,34003,104287,2867
2021-06-03,Bergen,New Jersey,34003,104301,2868
2021-06-04,Bergen,New Jersey,34003,104328,2869
2021-06-05,Bergen,New Jersey,34003,104369,2872
2021-06-06,Bergen,New Jersey,34003,104391,2872
2021-06-07,Bergen,New Jersey,34003,104409,2872
2021-06-08,Bergen,New Jersey,34003,104427,2872
2021-06-09,Bergen,New Jersey,34003,104449,2874
2021-06-10,Bergen,New Jersey,34003,104476,2878
2021-06-11,Bergen,New Jersey,34003,104508,2878
2021-06-12,Bergen,New Jersey,34003,104528,2878
2021-06-13,Bergen,New Jersey,34003,104553,2878
2021-06-14,Bergen,New Jersey,34003,104574,2878
2021-06-15,Bergen,New Jersey,34003,104610,2879
2021-06-16,Bergen,New Jersey,34003,104634,2879
2021-06-17,Bergen,New Jersey,34003,104653,2879
2021-06-18,Bergen,New Jersey,34003,104680,2879
2021-06-19,Bergen,New Jersey,34003,104694,2879
2021-06-20,Bergen,New Jersey,34003,104711,2879
2021-06-21,Bergen,New Jersey,34003,104721,2879
2021-06-22,Bergen,New Jersey,34003,104751,2881
2021-06-23,Bergen,New Jersey,34003,104791,2884
2021-06-24,Bergen,New Jersey,34003,104835,2885
2021-06-25,Bergen,New Jersey,34003,104860,2886
2021-06-26,Bergen,New Jersey,34003,104885,2887
2021-06-27,Bergen,New Jersey,34003,104908,2887
2021-06-28,Bergen,New Jersey,34003,104921,2885
2021-06-29,Bergen,New Jersey,34003,104955,2886
2021-06-30,Bergen,New Jersey,34003,104996,2887
2021-07-01,Bergen,New Jersey,34003,105028,2889
2021-07-02,Bergen,New Jersey,34003,105056,2890
2021-07-03,Bergen,New Jersey,34003,105080,2890
2021-07-04,Bergen,New Jersey,34003,105086,2890
2021-07-05,Bergen,New Jersey,34003,105095,2890
2021-07-06,Bergen,New Jersey,34003,105108,2890
2021-07-07,Bergen,New Jersey,34003,105129,2892
2021-07-08,Bergen,New Jersey,34003,105159,2892
2021-07-09,Bergen,New Jersey,34003,105181,2892
